Project Key,Summary,Issue Type,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Sprint,Components,Original Ticket ID,Depends On,Acceptance Criteria,Source Doc
AAA,Platform Foundation,Epic,"Base backend setup, CI, shared middleware, and observability baseline.",Highest,"ai-assistant,stage-3-build",13,Platform Foundation,,Sprint 1,Platform,EPIC-PLAT-1,,CI passes; request IDs in logs; service health endpoint available,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Assistant Core Flow,Epic,Interpret + confirm flow for safe assistant actions.,Highest,"ai-assistant,stage-3-build",13,Assistant Core Flow,,Sprint 1,Assistant,EPIC-AST-1,,Interpret and confirm endpoints function with deterministic response schema,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Task Management Core,Epic,Task create/read/update/delete with reminders and audit.,Highest,"ai-assistant,stage-3-build",21,Task Management Core,,Sprint 1,Tasks,EPIC-TASK-1,,Task lifecycle APIs pass acceptance tests; reminders and audits are present,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Ops and Release Readiness,Epic,"SLOs, alerts, runbooks, release checks.",Highest,"ai-assistant,stage-3-build",13,Ops and Release Readiness,,Sprint 1,Operations,EPIC-OPS-1,,Alerting and runbook validated; release checklist complete,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,Initialize backend repo and CI pipeline,Task,"Create service repo/module layout, lint/test pipeline, and build job.",Highest,"ai-assistant,stage-3-build",3,,Platform Foundation,Sprint 1,Platform,TKT-001,,Main branch build green; lint/test jobs configured,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Implement auth middleware,Task,Add bearer token validation and user context propagation.,Highest,"ai-assistant,stage-3-build",3,,Ops and Release Readiness,Sprint 1,Security,TKT-002,TKT-001,Unauthorized requests rejected; user ID available in handlers,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Add request correlation IDs and structured logging,Task,Inject request ID in middleware and include in all logs.,Highest,"ai-assistant,stage-3-build",2,,Platform Foundation,Sprint 1,Platform,TKT-003,TKT-001,All API logs include request_id and endpoint,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Create Task and ActionAudit DB migrations,Task,Add initial Task and ActionAudit tables with required indexes.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,Sprint 1,Data,TKT-004,TKT-001,Migrations run cleanly; indexes present for key query paths,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/assistant/interpret,Story,Implement minimal intent parse and entity extraction response contract.,Highest,"ai-assistant,stage-3-build",5,,Assistant Core Flow,Sprint 1,Assistant,TKT-005,TKT-002,Endpoint returns intent/entities/confirmation requirement,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/assistant/confirm,Story,Implement confirmation decision endpoint and execution trigger.,Highest,"ai-assistant,stage-3-build",3,,Assistant Core Flow,Sprint 1,Assistant,TKT-006,TKT-005,Confirm executes action; cancel performs no mutation,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/tasks with idempotency,Story,Create task endpoint with idempotency key support.,Highest,"ai-assistant,stage-3-build",5,,Task Management Core,Sprint 1,Tasks,TKT-007,TKT-004,Duplicate idempotency key does not create duplicate task,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Write ActionAudit hook for task create,Task,Persist success/failure audit for confirmed task actions.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,Sprint 1,Audit,TKT-008,TKT-007,Audit row created on success and failure paths,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Reminder queue producer for task create,Task,Publish reminder job event after task creation.,High,"ai-assistant,stage-3-build",2,,Task Management Core,Sprint 1,Notifications,TKT-009,TKT-007,Reminder job enqueued with due/reminder timestamps,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Mobile shell: voice/text capture + confirm UI,Story,Implement basic mobile capture and confirmation interaction.,Highest,"ai-assistant,stage-3-build",5,,Assistant Core Flow,Sprint 1,Mobile,TKT-010,TKT-005,User can submit utterance and confirm/cancel action,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
